cd_ibge,estrato,classf,id_familia,id_pessoa,cod_sexo_pessoa,idade,cod_parentesco_rf_pessoa,cod_raca_cor_pessoa,cod_local_nascimento_pessoa,cod_certidao_registrada_pessoa,cod_deficiencia_memb,cod_sabe_ler_escrever_memb,ind_frequenta_escola_memb,cod_escola_local_memb,cod_curso_frequenta_memb,cod_ano_serie_frequenta_memb,cod_curso_frequentou_pessoa_memb,cod_ano_serie_frequentou_memb,cod_concluiu_frequentou_memb,cod_trabalhou_memb,cod_afastado_trab_memb,cod_agricultura_trab_memb,cod_principal_trab_memb,val_remuner_emprego_memb,cod_trabalho_12_meses_memb,qtd_meses_12_meses_memb,val_renda_bruta_12_meses_memb,val_renda_doacao_memb,val_renda_aposent_memb,val_renda_seguro_desemp_memb,val_renda_pensao_alimen_memb,val_outras_rendas_memb,peso.fam,peso.pes
3167202,2,3,1517763,83378,2,51,1,1,1,1,1,1,3,,,,6,9,1,1,,2,4,1380,1,12,16560,0,0,0,0,0,550272476199873,563285963455599
3167202,2,3,3209659,84186,2,29,1,4,1,1,2,1,3,,,,8,3,1,2,2,,,0,2,,,0,0,0,0,0,550272476199873,563285963455599
3167202,2,3,1461697,84739,1,8,3,4,1,1,2,1,1,1,5,2,,,,,,,,,,,,,0,,0,,550272476199873,563285963455599
3167202,2,3,3207860,86132,1,44,1,4,2,1,2,1,3,,,,5,6,2,1,,2,1,700,1,12,8400,0,0,0,0,0,550272476199873,563285963455599
3167202,2,3,1525929,87384,1,25,3,1,2,1,1,1,3,,,,8,3,1,2,2,,,0,2,,,0,937,0,0,0,550272476199873,563285963455599
3167202,2,3,3206811,87563,2,29,1,4,1,1,2,1,3,,,,5,8,1,2,2,,,0,1,3,3214,0,0,0,0,0,550272476199873,563285963455599
3167202,2,3,1504965,87964,2,6,3,2,1,1,2,1,1,1,5,3,,,,,,,,,,,,,0,,0,,550272476199873,563285963455599
3167202,2,3,1470028,89206,2,7,3,2,1,1,2,1,1,1,5,4,,,,,,,,,,,,,0,,0,,550272476199873,563285963455599
3167202,2,3,3209926,91204,2,2,3,4,1,1,2,2,4,,,,,,,,,,,,,,,,0,,0,,550272476199873,563285963455599
3167202,2,3,1503244,93103,2,28,1,4,2,1,2,1,3,,,,13,,,1,,2,8,1800,1,12,21600,0,0,0,0,0,550272476199873,563285963455599
3167202,2,3,3207432,93122,2,66,1,4,2,1,2,2,4,,,,,,,2,2,,,0,2,,,0,937,0,0,0,550272476199873,563285963455599
3167202,2,3,3207183,93156,1,52,6,4,2,1,2,1,3,,,,5,5,2,1,,2,1,750,1,12,9000,0,0,0,0,0,550272476199873,563285963455599
3167202,2,3,1380926,93902,1,6,3,4,1,1,2,2,1,1,5,3,,,,,,,,,,,,,0,,0,,550272476199873,563285963455599
3167202,2,3,3209721,94342,1,17,3,4,2,1,2,1,3,,,,6,9,1,1,,2,4,525,1,6,3150,0,0,0,0,0,550272476199873,563285963455599
3167202,2,3,3206679,94600,2,27,1,4,1,1,2,1,3,,,,5,8,1,2,2,,,0,2,,,0,0,0,0,0,550272476199873,563285963455599
3167202,2,3,1383547,95167,1,33,1,4,1,1,1,1,3,,,,8,1,2,2,2,,,0,2,,,0,0,0,0,0,550272476199873,563285963455599
3167202,2,3,3207903,97918,1,17,3,4,1,1,2,1,1,1,7,2,,,,2,2,,,0,2,,,0,0,0,0,0,550272476199873,563285963455599
3167202,2,3,3208315,98249,2,32,1,1,1,1,2,1,3,,,,8,2,2,1,,2,4,1114,1,9,10026,0,0,0,0,0,550272476199873,563285963455599
3167202,2,3,3209905,101232,2,54,1,1,2,1,2,1,3,,,,11,,,2,2,,,0,2,,,0,0,0,0,0,550272476199873,563285963455599
3167202,2,3,3208430,105336,1,12,3,4,2,1,2,1,1,1,5,8,,,,,,,,,,,,,0,,0,,550272476199873,563285963455599
