cd_ibge,estrato,classf,id_familia,id_pessoa,cod_sexo_pessoa,idade,cod_parentesco_rf_pessoa,cod_raca_cor_pessoa,cod_local_nascimento_pessoa,cod_certidao_registrada_pessoa,cod_deficiencia_memb,cod_sabe_ler_escrever_memb,ind_frequenta_escola_memb,cod_escola_local_memb,cod_curso_frequenta_memb,cod_ano_serie_frequenta_memb,cod_curso_frequentou_pessoa_memb,cod_ano_serie_frequentou_memb,cod_concluiu_frequentou_memb,cod_trabalhou_memb,cod_afastado_trab_memb,cod_agricultura_trab_memb,cod_principal_trab_memb,val_remuner_emprego_memb,cod_trabalho_12_meses_memb,qtd_meses_12_meses_memb,val_renda_bruta_12_meses_memb,val_renda_doacao_memb,val_renda_aposent_memb,val_renda_seguro_desemp_memb,val_renda_pensao_alimen_memb,val_outras_rendas_memb,peso.fam,peso.pes
3122306,2,3,2616897,129713,1,15,3,1,1,1,2,1,1,1,7,2,,,,2,2,,,0,2,,,0,0,0,0,0,55033726977374,563310487945289
3122306,2,3,1490451,132104,2,76,2,4,2,1,2,1,3,,,,4,4,1,2,2,,,0,2,,,0,954,0,0,0,55033726977374,563310487945289
3122306,2,3,1522756,136518,1,12,3,1,1,1,2,1,1,1,5,7,,,,,,,,,,,,,0,,0,,55033726977374,563310487945289
3122306,2,3,2616544,139636,1,71,2,1,1,1,1,1,3,,,,4,3,2,2,2,,,0,2,,,0,954,0,0,0,55033726977374,563310487945289
3122306,2,3,1441154,139893,2,49,1,4,2,1,2,1,3,,,,5,5,2,1,,2,1,300,1,12,3600,0,0,0,0,0,55033726977374,563310487945289
3122306,2,3,2615517,142197,2,22,3,2,1,1,2,1,3,,,,8,3,1,2,2,,,0,1,2,1978,0,0,0,0,0,55033726977374,563310487945289
3122306,2,3,2615572,143626,2,27,1,1,2,1,2,1,3,,,,8,3,1,2,2,,,0,2,,,0,0,0,0,0,55033726977374,563310487945289
3122306,2,3,1468771,145594,2,39,1,1,2,1,2,1,3,,,,8,3,1,2,2,,,0,2,,,0,0,0,250,0,55033726977374,563310487945289
3122306,2,3,1441061,146155,1,41,2,4,1,1,2,2,4,,,,,,,2,2,,,0,2,,,0,0,0,0,0,55033726977374,563310487945289
3122306,2,3,2615852,148559,2,5,3,4,1,1,2,2,1,1,9,,,,,,,,,,,,,,0,,0,,55033726977374,563310487945289
3122306,2,3,2615158,149111,1,27,1,3,2,1,1,1,3,,,,8,3,1,2,2,,,0,2,,,230,0,0,0,0,55033726977374,563310487945289
3122306,2,3,1418825,150044,1,6,5,4,3,1,2,1,1,1,5,2,,,,,,,,,,,,,0,,306,,55033726977374,563310487945289
3122306,2,3,1418825,150314,2,3,5,4,2,1,2,2,1,1,2,,,,,,,,,,,,,,0,,306,,55033726977374,563310487945289
3122306,2,3,2616448,151041,1,0,5,4,2,1,2,2,4,,,,,,,,,,,,,,,,0,,0,,55033726977374,563310487945289
3122306,2,3,2615137,152015,1,29,2,1,2,1,2,1,3,,,,8,3,1,1,,2,1,1500,1,12,3600,0,0,0,0,0,55033726977374,563310487945289
3122306,2,3,2615910,152437,2,42,1,1,2,1,2,1,3,,,,8,1,2,1,,2,1,400,1,11,6320,0,0,0,0,0,55033726977374,563310487945289
3122306,2,3,2616862,152818,2,18,1,4,2,1,2,1,1,1,13,,,,,2,2,,,0,2,,,0,0,0,500,0,55033726977374,563310487945289
3122306,2,3,2615367,153269,2,23,2,4,1,1,2,1,3,,,,8,3,1,1,,2,4,1088,1,9,9792,0,0,0,0,0,55033726977374,563310487945289
3122306,2,3,1389721,153558,2,14,3,1,1,1,2,1,1,1,5,8,,,,2,2,,,0,2,,,0,0,0,0,0,55033726977374,563310487945289
3122306,2,3,2615233,154290,2,41,1,1,1,1,2,1,3,,,,8,3,1,2,2,,,0,2,,,0,0,0,0,0,55033726977374,563310487945289
3122306,2,3,1352091,154549,2,47,1,4,2,1,1,1,3,,,,5,5,2,2,2,,,0,2,,,0,0,0,0,0,55033726977374,563310487945289
3122306,2,3,2616404,154876,2,39,1,4,1,1,2,2,3,,,,4,2,2,2,2,,,0,2,,,0,0,0,0,880,55033726977374,563310487945289
3122306,2,3,1439989,156550,1,17,3,4,1,1,2,1,1,1,5,9,,,,2,2,,,0,2,,,0,0,0,0,0,55033726977374,563310487945289
3122306,2,3,2616058,156561,2,74,1,1,2,1,1,1,3,,,,13,,,2,2,,,0,2,,,0,880,0,0,0,55033726977374,563310487945289
3122306,2,3,1537912,160710,2,50,2,1,1,2,2,1,3,,,,8,3,1,1,,2,4,1471,1,12,17652,0,0,0,0,0,55033726977374,563310487945289
3122306,2,3,1415935,164971,2,6,3,1,3,1,2,2,1,1,5,3,,,,,,,,,,,,,0,,0,,55033726977374,563310487945289
3122306,2,3,2615586,165377,1,69,2,1,1,1,2,2,4,,,,,,,2,2,,,0,2,,,0,1232,0,0,0,55033726977374,563310487945289
3122306,2,3,2616144,168780,2,63,1,1,2,1,2,2,4,,,,,,,2,2,,,0,2,,,200,0,0,0,0,55033726977374,563310487945289
3122306,2,3,2615617,170163,2,11,3,1,1,1,2,2,1,1,5,7,,,,,,,,,,,,,0,,0,,55033726977374,563310487945289
3122306,2,3,1412431,175983,1,19,3,1,1,1,1,2,3,,,,7,5,2,1,,2,11,600,1,12,7200,0,0,0,0,0,55033726977374,563310487945289
3122306,2,3,2615354,180069,2,22,3,1,1,1,2,1,3,,,,13,,,2,2,,,0,2,,,0,0,0,0,0,55033726977374,563310487945289
3122306,2,3,2617106,180879,2,8,5,4,1,1,2,2,1,1,5,4,,,,,,,,,,,,,0,,0,,55033726977374,563310487945289
3122306,2,3,2616247,183553,1,42,2,1,2,2,2,1,3,,,,8,1,2,1,,2,4,937,1,5,5622,0,0,0,0,0,55033726977374,563310487945289
3122306,2,3,2615029,188794,1,25,3,4,1,1,2,1,3,,,,5,7,2,2,2,,,0,2,,,0,0,0,0,0,55033726977374,563310487945289
3122306,2,3,1462670,188885,1,7,3,1,1,1,2,1,1,1,5,4,,,,,,,,,,,,,0,,0,,55033726977374,563310487945289
3122306,2,3,2617021,190773,1,11,5,1,1,1,2,1,1,1,5,8,,,,,,,,,,,,,0,,0,,55033726977374,563310487945289
3122306,2,3,1412828,193301,1,7,3,1,1,1,2,2,1,1,5,2,,,,,,,,,,,,,0,,0,,55033726977374,563310487945289
3122306,2,3,1442224,194356,1,19,1,1,2,1,2,1,3,,,,13,,,2,2,,,700,1,12,8400,0,0,0,0,0,55033726977374,563310487945289
3122306,2,3,1337292,201277,2,22,1,4,1,1,2,2,3,,,,5,8,1,2,2,,,0,2,,,0,954,0,500,0,55033726977374,563310487945289
3122306,2,3,1450212,205215,2,24,1,1,1,1,2,1,3,,,,8,1,2,1,,2,1,120,1,12,1440,0,0,0,200,0,55033726977374,563310487945289
3122306,2,3,1333646,206761,2,10,3,4,1,1,2,1,1,1,5,6,,,,,,,,,,,,,0,,0,,55033726977374,563310487945289
3122306,2,3,1414634,207115,1,19,3,1,1,1,2,1,3,,,,8,3,1,1,,2,4,715,1,5,3575,0,0,0,0,0,55033726977374,563310487945289
3122306,2,3,2615892,207334,1,21,3,1,1,1,2,1,3,,,,8,3,1,1,,2,4,890,1,12,10680,0,0,0,0,0,55033726977374,563310487945289
3122306,2,3,2616939,213021,1,41,2,1,2,1,2,1,3,,,,5,8,1,2,2,,,0,1,11,15268,0,0,1300,0,0,55033726977374,563310487945289
3122306,2,3,2616364,213425,2,80,1,1,1,1,2,1,3,,,,4,2,2,2,2,,,0,2,,,0,788,0,0,0,55033726977374,563310487945289
3122306,2,3,2615954,214539,1,2,3,4,1,1,2,2,1,1,1,,,,,,,,,,,,,,0,,0,,55033726977374,563310487945289
3122306,2,3,2615613,214681,1,0,3,4,1,1,2,2,4,,,,,,,,,,,,,,,,0,,0,,55033726977374,563310487945289
3122306,2,3,2617136,216014,1,9,3,4,1,1,2,2,1,1,4,5,,,,,,,,,,,,,0,,0,,55033726977374,563310487945289
3122306,2,3,2615077,220070,1,12,3,4,2,1,2,1,1,1,5,6,,,,,,,,,,,,,0,,0,,55033726977374,563310487945289
3122306,2,3,2616428,220563,1,8,3,1,1,1,2,2,1,1,5,2,,,,,,,,,,,,,0,,0,,55033726977374,563310487945289
3122306,2,3,1390328,222072,2,65,11,1,2,1,1,1,3,,,,4,2,2,2,2,,,0,2,,,0,0,0,0,0,55033726977374,563310487945289
3122306,2,3,2616275,222239,2,25,1,4,1,1,2,1,3,,,,8,3,1,2,2,,,0,2,,,0,0,0,0,0,55033726977374,563310487945289
3122306,2,3,2615546,222514,1,18,3,1,1,1,2,1,1,1,7,2,,,,2,2,,,0,2,,,0,0,0,0,0,55033726977374,563310487945289
3122306,2,3,2615366,222700,2,17,3,4,1,1,2,1,1,1,7,2,,,,2,2,,,0,2,,,0,0,0,0,0,55033726977374,563310487945289
3122306,2,3,2615845,225503,1,66,1,1,1,1,1,1,3,,,,4,1,2,2,2,,,0,2,,,0,954,0,0,0,55033726977374,563310487945289
